RegionName,StateName,HealthRegionName,MunicipalityName,MunicipalityLat,MunicipalityLon,match_0,match_1,match_2,match_3
Centro-Oeste,Goiás,Oeste II,Firminópolis,-16.639769,-50.313134,,,,
Centro-Oeste,Goiás,Oeste II,Palmeiras de Goiás,-16.808904,-49.945875,,,,
Centro-Oeste,Goiás,Oeste II,Palminópolis,-16.819948,-50.195195,,,,
Centro-Oeste,Goiás,Oeste II,Paraúna,-17.046969,-50.637796,,,,
Centro-Oeste,Goiás,Oeste II,Sanclerlândia,-16.285442,-50.375220,,,,
Centro-Oeste,Goiás,Oeste II,São João da Paraúna,-16.818413,-50.373004,,,,
Centro-Oeste,Goiás,Oeste II,São Luís de Montes Belos,-16.455581,-50.375630,,,,
Centro-Oeste,Goiás,Oeste II,Turvânia,-16.577292,-50.131817,,,,
Centro-Oeste,Goiás,Pirineus,Abadiânia,-16.186640,-48.714107,,,,
Centro-Oeste,Goiás,Pirineus,Alexânia,-16.089000,-48.482511,,,,
Centro-Oeste,Goiás,Pirineus,Anápolis,-16.290816,-48.973588,,,,
Centro-Oeste,Goiás,Pirineus,Campo Limpo de Goiás,-16.286209,-49.103550,,,,
Centro-Oeste,Goiás,Pirineus,Cocalzinho de Goiás,-15.655396,-48.603034,,,,
Centro-Oeste,Goiás,Pirineus,Corumbá de Goiás,-15.930282,-48.679346,,,,
Centro-Oeste,Goiás,Pirineus,Gameleira de Goiás,-16.402867,-48.672860,,,,
Centro-Oeste,Goiás,Pirineus,Goianápolis,-16.514447,-49.066429,,,,
Centro-Oeste,Goiás,Pirineus,Pirenópolis,-15.810074,-49.011924,,,,
Centro-Oeste,Goiás,Pirineus,Terezópolis de Goiás,-16.442794,-49.074252,,,,
Centro-Oeste,Goiás,Rio Vermelho,Americano do Brasil,-16.261335,-50.001738,,,,
Centro-Oeste,Goiás,Rio Vermelho,Araguapaz,-15.139386,-50.439638,,,,
Centro-Oeste,Goiás,Rio Vermelho,Aruanã,-14.805336,-50.937493,,,,
Centro-Oeste,Goiás,Rio Vermelho,Britânia,-15.237094,-51.208136,,,,
Centro-Oeste,Goiás,Rio Vermelho,Faina,-15.435623,-50.370444,,,,
Centro-Oeste,Goiás,Rio Vermelho,Goiás,-15.846907,-50.242999,,,,
Centro-Oeste,Goiás,Rio Vermelho,Guaraíta,-15.671850,-50.050126,,,,
Centro-Oeste,Goiás,Rio Vermelho,Heitoraí,-15.743291,-49.784746,,,,
Centro-Oeste,Goiás,Rio Vermelho,Itaberaí,-16.081055,-49.824151,,,,
Centro-Oeste,Goiás,Rio Vermelho,Itapirapuã,-15.702640,-50.771164,,,,
Centro-Oeste,Goiás,Rio Vermelho,Itapuranga,-15.547456,-49.950594,,,,
Centro-Oeste,Goiás,Rio Vermelho,Jussara,-15.582818,-51.329604,,,,
Centro-Oeste,Goiás,Rio Vermelho,Matrinchã,-15.376789,-50.775231,,,,
Centro-Oeste,Goiás,Rio Vermelho,Mossâmedes,-16.162030,-50.158239,,,,
Centro-Oeste,Goiás,Rio Vermelho,Mozarlândia,-14.842814,-50.586878,,,,
Centro-Oeste,Goiás,Rio Vermelho,Nova Crixás,-14.134003,-50.561919,,,,
Centro-Oeste,Goiás,Rio Vermelho,Santa Fé de Goiás,-15.667392,-51.171623,,,,
Centro-Oeste,Goiás,Serra da Mesa,Alto Horizonte,-14.171046,-49.428841,,,,
Centro-Oeste,Goiás,Serra da Mesa,Amaralina,-13.842511,-49.614775,,,,
Centro-Oeste,Goiás,Serra da Mesa,Campinorte,-14.044771,-48.975231,,,,
Centro-Oeste,Goiás,Serra da Mesa,Colinas do Sul,-13.985172,-48.075233,,,,
Centro-Oeste,Goiás,Serra da Mesa,Hidrolina,-14.739801,-49.363074,,,,
Centro-Oeste,Goiás,Serra da Mesa,Mara Rosa,-13.996620,-49.395859,,,,
Centro-Oeste,Goiás,Serra da Mesa,Niquelândia,-14.498631,-48.401829,,,,
Centro-Oeste,Goiás,Serra da Mesa,Nova Iguaçu de Goiás,-14.311263,-49.288185,,,,
Centro-Oeste,Goiás,Serra da Mesa,Uruaçu,-14.419324,-49.090407,,,,
Centro-Oeste,Goiás,Sudoeste I,Acreúna,-17.451797,-50.325952,,,,
Centro-Oeste,Goiás,Sudoeste I,Aparecida do Rio Doce,-18.216906,-51.263118,,,,
