RegionName,StateName,HealthRegionName,MunicipalityName,RegionID,StateID,HealthRegionID,MunicipalityID,RegionLat,RegionLon,StateLat,StateLon,HealthRegionLat,HealthRegionLon,MunicipalityLat,MunicipalityLon
Nordeste,Ceará,17ª Região Icó,,2,12,117,,-8.634569,-41.740481,-5.093181,-39.615844,-6.522547,-38.885424,,
Nordeste,Ceará,18ª Região Iguatú,,2,12,118,,-8.634569,-41.740481,-5.093181,-39.615844,-6.187983,-39.566903,,
Nordeste,Ceará,19ª Região Brejo Santo,,2,12,119,,-8.634569,-41.740481,-5.093181,-39.615844,-7.329001,-38.890993,,
Nordeste,Ceará,1ª Região Fortaleza,,2,12,120,,-8.634569,-41.740481,-5.093181,-39.615844,-3.913795,-38.462929,,
Nordeste,Ceará,20ª Região Crato,,2,12,121,,-8.634569,-41.740481,-5.093181,-39.615844,-7.039628,-39.852472,,
Nordeste,Ceará,21ª Região Juazeiro do Norte,,2,12,122,,-8.634569,-41.740481,-5.093181,-39.615844,-7.291495,-39.258374,,
Nordeste,Ceará,22ª Região Cascavel,,2,12,123,,-8.634569,-41.740481,-5.093181,-39.615844,-4.351935,-38.295675,,
Nordeste,Ceará,2ª Região Caucaia,,2,12,124,,-8.634569,-41.740481,-5.093181,-39.615844,-3.780931,-39.177776,,
Nordeste,Ceará,3ª Região Maracanaú,,2,12,125,,-8.634569,-41.740481,-5.093181,-39.615844,-4.108248,-38.724269,,
Nordeste,Ceará,4ª Região Baturité,,2,12,126,,-8.634569,-41.740481,-5.093181,-39.615844,-4.462517,-38.866274,,
Nordeste,Ceará,5ª Região Canindé,,2,12,127,,-8.634569,-41.740481,-5.093181,-39.615844,-4.649949,-39.533645,,
Nordeste,Ceará,6ª Região Itapipoca,,2,12,128,,-8.634569,-41.740481,-5.093181,-39.615844,-3.400549,-39.617812,,
Nordeste,Ceará,7ª Região Aracati,,2,12,129,,-8.634569,-41.740481,-5.093181,-39.615844,-4.666718,-37.673204,,
Nordeste,Ceará,8ª Região Quixadá,,2,12,130,,-8.634569,-41.740481,-5.093181,-39.615844,-5.260275,-39.173495,,
Nordeste,Ceará,9ª Região Russas,,2,12,131,,-8.634569,-41.740481,-5.093181,-39.615844,-5.066869,-38.346664,,
Nordeste,Maranhão,Açailândia,,2,13,132,,-8.634569,-41.740481,-5.072835,-45.288001,-4.689212,-47.219208,,
Nordeste,Maranhão,Bacabal,,2,13,133,,-8.634569,-41.740481,-5.072835,-45.288001,-4.292526,-45.170825,,
Nordeste,Maranhão,Balsas,,2,13,134,,-8.634569,-41.740481,-5.072835,-45.288001,-7.913536,-46.221103,,
Nordeste,Maranhão,Barra do Corda,,2,13,135,,-8.634569,-41.740481,-5.072835,-45.288001,-5.676227,-45.643427,,
Nordeste,Maranhão,Caxias,,2,13,136,,-8.634569,-41.740481,-5.072835,-45.288001,-4.613563,-43.309929,,
Nordeste,Maranhão,Chapadinha,,2,13,137,,-8.634569,-41.740481,-5.072835,-45.288001,-3.358848,-42.755699,,
Nordeste,Maranhão,Codó,,2,13,138,,-8.634569,-41.740481,-5.072835,-45.288001,-4.349156,-44.034417,,
Nordeste,Maranhão,Imperatriz,,2,13,139,,-8.634569,-41.740481,-5.072835,-45.288001,-5.844321,-46.922021,,
Nordeste,Maranhão,Itapecuru Mirim,,2,13,140,,-8.634569,-41.740481,-5.072835,-45.288001,-3.482839,-44.080897,,
Nordeste,Maranhão,Pedreiras,,2,13,141,,-8.634569,-41.740481,-5.072835,-45.288001,-4.764055,-44.992116,,
Nordeste,Maranhão,Pinheiro,,2,13,142,,-8.634569,-41.740481,-5.072835,-45.288001,-2.187187,-45.182847,,
Nordeste,Maranhão,Presidente Dutra,,2,13,143,,-8.634569,-41.740481,-5.072835,-45.288001,-5.348003,-44.432692,,
Nordeste,Maranhão,Rosário,,2,13,144,,-8.634569,-41.740481,-5.072835,-45.288001,-2.834826,-43.553669,,
Nordeste,Maranhão,Santa Inês,,2,13,145,,-8.634569,-41.740481,-5.072835,-45.288001,-3.904525,-45.994194,,
Nordeste,Maranhão,São João dos Patos,,2,13,146,,-8.634569,-41.740481,-5.072835,-45.288001,-6.429997,-44.250000,,
Nordeste,Maranhão,São Luís,,2,13,147,,-8.634569,-41.740481,-5.072835,-45.288001,-2.474921,-44.393014,,
Nordeste,Maranhão,Timon,,2,13,148,,-8.634569,-41.740481,-5.072835,-45.288001,-5.635245,-43.252846,,
Nordeste,Maranhão,Viana,,2,13,149,,-8.634569,-41.740481,-5.072835,-45.288001,-3.027803,-44.963163,,
Nordeste,Maranhão,Zé Doca,,2,13,150,,-8.634569,-41.740481,-5.072835,-45.288001,-2.566617,-46.122678,,
Nordeste,Paraíba,10ª Região,,2,14,151,,-8.634569,-41.740481,-7.121076,-36.832506,-6.753600,-38.180099,,
Nordeste,Paraíba,11ª Região,,2,14,152,,-8.634569,-41.740481,-7.121076,-36.832506,-7.569301,-37.885873,,
Nordeste,Paraíba,12ª Região,,2,14,153,,-8.634569,-41.740481,-7.121076,-36.832506,-7.293669,-35.396762,,
Nordeste,Paraíba,13ª Região,,2,14,154,,-8.634569,-41.740481,-7.121076,-36.832506,-6.755738,-37.781979,,
Nordeste,Paraíba,14ª Região,,2,14,155,,-8.634569,-41.740481,-7.121076,-36.832506,-6.728402,-35.137774,,
Nordeste,Paraíba,15ª Região,,2,14,156,,-8.634569,-41.740481,-7.121076,-36.832506,-7.571713,-36.034796,,
Nordeste,Paraíba,16ª Região,,2,14,157,,-8.634569,-41.740481,-7.121076,-36.832506,-7.166422,-36.333194,,
Nordeste,Paraíba,1ª Região Mata Atlântica,,2,14,158,,-8.634569,-41.740481,-7.121076,-36.832506,-7.158256,-35.017492,,
Nordeste,Paraíba,2ª Região,,2,14,159,,-8.634569,-41.740481,-7.121076,-36.832506,-6.725532,-35.577906,,
Nordeste,Paraíba,3ª Região,,2,14,160,,-8.634569,-41.740481,-7.121076,-36.832506,-6.994318,-35.787881,,
Nordeste,Paraíba,4ª Região,,2,14,161,,-8.634569,-41.740481,-7.121076,-36.832506,-6.656490,-36.235693,,
Nordeste,Paraíba,5ª Região,,2,14,162,,-8.634569,-41.740481,-7.121076,-36.832506,-7.739985,-36.803567,,
Nordeste,Paraíba,6ª Região,,2,14,163,,-8.634569,-41.740481,-7.121076,-36.832506,-7.012445,-37.258717,,
Nordeste,Paraíba,7ª Região,,2,14,164,,-8.634569,-41.740481,-7.121076,-36.832506,-7.354723,-38.173320,,
Nordeste,Paraíba,8ª Região,,2,14,165,,-8.634569,-41.740481,-7.121076,-36.832506,-6.335747,-37.575380,,
