RegionName,StateName,HealthRegionName,HealthRegionLat,HealthRegionLon,match_0,match_1,match_2,match_3
Sudeste,São Paulo,Centro Oeste do DRS III,-21.656660,-48.834674,,,,
Sudeste,São Paulo,Circuito da Fé e Vale Histórico,-22.793720,-44.882282,,,,
Sudeste,São Paulo,Circuito das Águas,-22.648251,-46.734507,,,,
Sudeste,São Paulo,Consórcios do DRS II,-21.378454,-50.238773,,,,
Sudeste,São Paulo,Coração do DRS III,-21.941474,-47.876667,,,,
Sudeste,São Paulo,Extremo Oeste Paulista,-21.916634,-52.003189,,,,
Sudeste,São Paulo,Fernandópolis,-20.149578,-50.301909,,,,
Sudeste,São Paulo,Franco da Rocha,-23.327830,-46.684174,,,,
Sudeste,São Paulo,Grande ABC,-23.759523,-46.497557,,,,
Sudeste,São Paulo,Horizonte Verde,-21.175947,-48.207268,,,,
Sudeste,São Paulo,Itapetininga,-23.687221,-48.159596,,,,
Sudeste,São Paulo,Itapeva,-24.097002,-48.940647,,,,
Sudeste,São Paulo,Jales,-20.267301,-50.671571,,,,
Sudeste,São Paulo,Jaú,-22.273972,-48.413024,,,,
Sudeste,São Paulo,José Bonifácio,-21.022132,-49.791210,,,,
Sudeste,São Paulo,Jundiaí,-23.192802,-46.929847,,,,
Sudeste,São Paulo,Lagos do DRS II,-20.837653,-51.242703,,,,
Sudeste,São Paulo,Limeira,-22.567665,-47.369133,,,,
Sudeste,São Paulo,Lins,-21.655668,-49.716502,,,,
Sudeste,São Paulo,Litoral Norte,-23.606666,-45.314360,,,,
Sudeste,São Paulo,Mananciais,-23.818769,-46.950242,,,,
Sudeste,São Paulo,Mantiqueira,-21.922300,-46.977542,,,,
Sudeste,São Paulo,Marília,-22.230843,-49.936274,,,,
Sudeste,São Paulo,Norte - Barretos,-20.494647,-48.693034,,,,
Sudeste,São Paulo,Norte do DRS III,-21.498989,-48.469673,,,,
Sudeste,São Paulo,Ourinhos,-22.856405,-49.685072,,,,
Sudeste,São Paulo,Piracicaba,-22.750233,-47.754092,,,,
Sudeste,São Paulo,Polo Cuesta,-22.955800,-48.352593,,,,
Sudeste,São Paulo,Pontal do Paranapanema,-22.423784,-52.374754,,,,
Sudeste,São Paulo,Região Metropolitana de Campinas,-22.852142,-47.098970,,,,
Sudeste,São Paulo,Rio Claro,-22.299439,-47.684254,,,,
Sudeste,São Paulo,Rio Pardo,-21.617114,-46.906363,,,,
Sudeste,São Paulo,Rota dos Bandeirantes,-23.475902,-46.912631,,,,
Sudeste,São Paulo,Santa Fé do Sul,-20.206938,-50.917089,,,,
Sudeste,São Paulo,Sorocaba,-23.584351,-47.461814,,,,
Sudeste,São Paulo,Sul - Barretos,-20.951185,-48.490087,,,,
Sudeste,São Paulo,São José do Rio Preto,-20.594831,-49.408442,,,,
Sudeste,São Paulo,São Paulo,-23.650000,-46.647771,,,,
Sudeste,São Paulo,Três Colinas,-20.466072,-47.417144,,,,
Sudeste,São Paulo,Tupã,-21.853565,-50.563907,,,,
Sudeste,São Paulo,Vale das Cachoeiras,-21.065361,-47.409978,,,,
Sudeste,São Paulo,Vale do Jurumirim,-23.290012,-49.145286,,,,
Sudeste,São Paulo,Vale do Paraíba/Região Serrana,-23.085683,-45.442597,,,,
Sudeste,São Paulo,Vale do Ribeira,-24.540767,-47.890773,,,,
Sudeste,São Paulo,Votuporanga,-20.416984,-49.983261,,,,
